repo_name,language,description
ALAppExtensions,AL,Repository for collaboration on Microsoft AL application add-on and localization extensions for Microsoft Dynamics 365 Business Central.
ALEX,C++,"A library for building an in-memory, Adaptive Learned indEX"
alguidelines,SCSS,Best Practices and Design Patterns for the AL Language
AliveInLean,Lean,Formally verified implementation of Alive in Lean
all-things-azure,Python,
aloop,Python,Describe what you want in plain text. An AI agent relentlessly refines it overnight. You wake up to the finished version
Alphahunt,Python,Training threat hunting agents through scalable realistic synthetic data
Aly-Profile,,
Alympics,Python,
AmbariBasedHadoopExporter,C#,"Exporter based on Hadoop clusters that use Ambari as their administrative tool, leveraging Ambari API to export cluster's metrics."
AMBROSIA,C#,Robust Distributed Programming Made Easy and Efficient
amelabs,HCL,A repository for storing content related to lab deployments for CSS team Azure Monitoring Enterprise.
Americas-Power-Platform-Global-Black-Belts,,
amf0,Go,General-purpose encoder and decoder for amf0
aml-acceleration-template,Python,A template repository for quickly adopting Azure Machine Learning
aml-pipelines-demo,Python,
amlFilesystem-lustre,C,Lustre Repository with MS patches
amlFilesystem-tools,Shell,Lustre diagnostic tools for running Lustre in Azure
AMLSDKRModelsOperationalization,HTML,Operationalize R models at scale using Python via Azure ML SDK
AMLWorkshop,Jupyter Notebook,Student Materials for MTC Azure ML Workshop
AML_Interpret_usecases,Jupyter Notebook,AML Interpret usecases demo
AMOS,Python,[ICLR 2022] Pretraining Text Encoders with Adversarial Mixture of Training Signal Generators
amplifier,Shell,
amplifier-app-cli,Python,Reference implementation of CLI interface for Amplifier project
amplifier-app-log-viewer,Python,Reference implementation of a Log Viewer app for the Amplifier project
amplifier-app-openclaw,Python,OpenClaw skill for the Amplifier project
amplifier-bundle-a2a,Python,A2A bundle for the Amplifier project
amplifier-bundle-attractor,Python,Attractor bundle for the Amplifier project
amplifier-bundle-browser,Python,Browser bundle for the Amplifier project
amplifier-bundle-browser-tester,,"Browser automation bundle for Amplifier - JS rendering, auth flows, visual verification via agent-browser"
amplifier-bundle-containers,Python,Containers bundle for the Amplifier project
amplifier-bundle-design-intelligence,,Design intelligence bundle for the Amplifier project
amplifier-bundle-digital-twin-universe,Python,Digital Twin Universe bundle for the Amplifier project
amplifier-bundle-distro,Python,Managed bundle for Amplifier distro
amplifier-bundle-dot-graph,Python,DOT graph bundle for the Amplifier project
amplifier-bundle-execution-environments,Python,Execution environments bundle for the Amplifier project
amplifier-bundle-filesystem,Python,Filesystem bundle for the Amplifier project
amplifier-bundle-gitea,Python,Gitea bundle for the Amplifier project
amplifier-bundle-issues,Python,Amplifier issues bundle
amplifier-bundle-lsp,Python,General bundle for adding LSP support to Ampllfier project bundles
amplifier-bundle-lsp-python,,Python LSP bundle for Amplifier project bundles
amplifier-bundle-lsp-rust,,Rust LSP bundle for the Amplifier project
amplifier-bundle-lsp-typescript,,TypeScript/JavaScript LSP bundle for Amplifier - semantic code intelligence via typescript-language-server
amplifier-bundle-modes,Python,Dynamic modes bundle for Amplifier project
amplifier-bundle-my-voice,Python,My Voice bundle for the Amplifier project
amplifier-bundle-notify,Python,Notification hook bundle for Amplifier - desktop and terminal notifications when assistant turns complete
amplifier-bundle-observers,Python,Observers bundle for the Amplifier project
amplifier-bundle-orchestration,Python,Various orchestration patterns as bundles for amplifier
amplifier-bundle-python-dev,Python,Python development bundle for the Amplifier project
amplifier-bundle-recipes,Python,Recipes bundle for the Amplifier project
amplifier-bundle-routing-matrix,Python,Routing Matrix bundle for the Amplifier project
amplifier-bundle-rust-dev,Python,Rust development bundle for the Amplifier project
amplifier-bundle-shadow,Python,Shadow environment bundle for the Amplifier project
amplifier-bundle-skills,Python,Skills bundle for the Amplifier project
amplifier-bundle-stories,Python,Stories bundle for the Amplifier project
amplifier-bundle-superpowers,Python,Superpowers bundle for the Amplifier project
amplifier-bundle-terminal-tester,Python,Terminal testing bundle for the Amplifier project
amplifier-bundle-ts-dev,Python,"Comprehensive TypeScript/JavaScript development tools for Amplifier - code quality, LSP, and expert agent"
amplifier-bundle-typescript-dev,Python,Typescript development bundle for the Amplifier project
amplifier-bundle-webllm,Python,WebLLM with WebGPU bundle for running amplifier-core in browsers the Amplifier project
amplifier-bundle-webruntime,Python,Web Runtime bundle for the Amplifier proejct
amplifier-chat,HTML,Chat plugin for Amplifier service
amplifier-collection-design-intelligence,Python,Reference implementation of a design intelligence collection for the Amplifier project
amplifier-collection-issues,Python,An amplifier collection containing modules and profiles for amplifier task management.
amplifier-collection-recipes,Python,Reference implementation of a Recipes collection for the Amplifier project
amplifier-collection-toolkit,Python,Reference implementation of a toolkit collection for the Amplifier project
amplifier-collections,Python,Reference implementation of a collection's library for the Amplifier project
amplifier-config,Python,Reference implementation for a config library for the Amplifier project
amplifier-core,Rust,
amplifier-distro,Python,Amplifier experiences
amplifier-docs,Python,Documentation for the Amplifier project
amplifier-foundation,Python,Foundation library for the Amplifier project
amplifier-lib,Python,Python library for Amplifier
amplifier-module-context-persistent,Python,Reference implementation of a persistent context module for the Amplifier project
amplifier-module-context-simple,Python,Reference implementation of a simple context module for the Amplifier project
amplifier-module-hook-shell,Python,Shell-based hooks module for Amplifier with Claude Code format compatibility
amplifier-module-hooks-approval,Python,Reference implementation of an approval hook module for the Amplifier project
amplifier-module-hooks-backup,Python,Reference implementation for a backup hooks module for the Amplifier project
amplifier-module-hooks-logging,Python,Reference implementation of a logging hook module for the Amplifier project
amplifier-module-hooks-redaction,Python,Reference implementation for a redaction hook module for the Amplifier project
amplifier-module-hooks-scheduler-cost-aware,Python,Reference implementation of a cost-aware scheduler hooks module for the Amplifier project
amplifier-module-hooks-scheduler-heuristic,Python,Reference implementation for a heuristic scheduler hooks module for the Amplifier project
amplifier-module-hooks-status-context,Python,Reference implementation of a status context hooks module for the Amplifier project
amplifier-module-hooks-streaming-ui,Python,Reference implementation of a streaming UI hook module for the Amplifier project
amplifier-module-hooks-todo-reminder,Python,Reference implementation of a Todo Reminder hooks module for the Amplifier project
amplifier-module-loop-basic,Python,Reference implementation for a basic loop module for Amplifier project
amplifier-module-loop-events,Python,Reference implementation for an events loop module for the Amplifier project
amplifier-module-loop-streaming,Python,Reference implementation for a streaming loop module for the Amplifier project
amplifier-module-provider-anthropic,Python,Reference implementation for an Anthropic provider for the Amplifier project
amplifier-module-provider-azure-openai,Python,Reference implementation of an Azure OpenAI provider module for the Amplifier project
amplifier-module-provider-gemini,Python,Reference implementation of a Gemini provider module for the Amplifier project
amplifier-module-provider-github-copilot,Python,Enables access to GitHub Copilot models via the Copilot SDK
amplifier-module-provider-litellm,Python,LiteLLM provider module for the Amplifier project
amplifier-module-provider-mock,Python,Reference implementation for a mock provider module for the Amplifier project
amplifier-module-provider-ollama,Python,Reference implementation of an Ollama provider module for the Amplifier project
amplifier-module-provider-openai,Python,Reference implementation for an OpenAI provider module for the Amplifier project
amplifier-module-provider-vllm,Python,Reference implementation of a vLLM provider module for the Amplifier project
amplifier-module-resolution,Python,Reference implementation for a module resolution library for the Amplifier project
amplifier-module-tool-bash,Python,Reference implementation for a bash tool module for the Amplifier project
amplifier-module-tool-filesystem,Python,Reference implementation for a filesystem tool module for the Amplifier project
amplifier-module-tool-mcp,Python,Add MCP server capabilities to Amplifier
amplifier-module-tool-search,Python,Reference implementation for a search tool module for the Amplifier project
amplifier-module-tool-skills,Python,
amplifier-module-tool-slash-command,Python,"Extensible slash command system for Amplifier, enabling custom commands defined as Markdown files."
amplifier-module-tool-task,Python,Reference implementation of a task tool module for the Amplifier project
amplifier-module-tool-todo,Python,Reference implementation of a Todo tool module for the Amplifier project
amplifier-module-tool-web,Python,Reference implementation of a web tool module for the Amplifier project
amplifier-profiles,Python,Reference implementation for a profile's library for the Amplifier project
amplifier-voice,Python,"Amplifier Voice app, standalone or as a plugin to amplifierd service"
amplifierd,Python,Amplifier service
amplify,Shell,Utility to extend any bash command
AMRL-ICLR2020,Python,Code for AMRL: Aggregated Memory For Reinforcement Learning published at ICLR 2020 (https://iclr.cc/virtual_2020/poster_Bkl7bREtDr.html). The research is focussed on ignoring noise and irrelevant features in RL agents with memory.
analysing_pii_leakage,Python,The repository contains the code for analysing the leakage of personally identifiable (PII) information from the output of next word prediction language models.
Analysis-Framework-for-TVM,Python,Static analysis framework for analyzing programs written in TVM's Relay IR.
Analysis-Services,C#,Git repo for Analysis Services samples and community projects
Analytics-Hub,,"A central hub for analytics resources, linking to repositories, guides, and templates leveraging MAC, Purview, and Viva Insights."
analyzer-for-robot-teaching-demonstrations,Python,Analyzer for human demonstrations during robot teaching
AnaMeta,Python,"Code, model and data for ACL'23 paper ""AnaMeta: A Table Understanding Dataset of Field Metadata Knowledge Shared by Multi-dimensional Data Analysis Tasks"""
AnanthaRekha,C#,Generates varieties of images of randomized but semantically correct technical diagrams like flow charts and state diagrams. These images can be used to train NNs that perform image segmentation tasks.
ANCE,Python,A novel embedding training algorithm leveraging ANN search and achieved SOTA retrieval on Trec DL 2019 and OpenQA benchmarks
android-app-size-diff,TypeScript,Android app size measuring in your CI
android-samples,Kotlin,This repo contains samples that demonstrate how to use various Microsoft APIs in Android apps.
Angara,F#,Angara: the modelling environment https://www.microsoft.com/en-us/research/project/distribution-modeller
Angara.Chart,F#,"Allows to define and display a chart as a collection of plots such as line, band, markers, heatmap. Supports visualization of uncertain values represented as quantiles."
Angara.Flow,F#,"A .NET framework for composing, evaluating, inspecting and persisting computational experiments which are represented as a dataflow."
Angara.Serialization,F#,An extendible library for serialization of an arbitrary objects to JSON format extended with type information to facilitate interoperability between .NET and JavaScript platforms.
Angara.Statistics,F#,A collection of statistics algorithms from Mersenne twister generator to MCMC sampling.
Angara.Table,F#,"A library that contains types for table representation and operations to manipulate with tables, as well as save and load them from text files such as CSV files."
angle,,ANGLE: OpenGL ES to DirectX translation
angular-react,TypeScript,Use React components inside Angular
angular2-in-visual-studio,TypeScript,Sample project for using the Angular 2 Language Service in Visual Studio
angular2-slickgrid,TypeScript,SlickGrid with Angular2 wrapper and virtualized data support.
AngularLanguageServiceExtFeedback,,
Annotation-Factory,Python,Simple Python package for converting between CustomVision <-> Pascal VOC <-> YOLO annotations
anomaly-detector,Python,
anomalydetector,Python,SR-CNN
AnsibleLabs,Python,Ansible on Azure Lab playbooks and documentation
antares,C++,"Antares: an automatic engine for multi-platform kernel generation and optimization. Supporting CPU, CUDA, ROCm, DirectX12, GraphCore, SYCL for CPU/GPU, OpenCL for AMD/NVIDIA, Android CPU/GPU backends."
AnthropomorphicIntelligence,Python,"Advancing AI by embracing human-likeness for better AI understanding, human–AI collaboration, and social simulation, bridging technology and genuine human experience."
AnyContainer,C#,Allows swapping out IoC containers without rewriting registration or resolve code.
anymatch,JavaScript,":bangbang: Matches strings against configurable strings, globs, regular expressions, and/or functions"
aoai-api-simulator,Python,A sample showing how to create a simulated API implementation for Azure OpenAI (AOAI)
aoai-batch-buddy,C#,Submit and monitor batch jobs to Azure OpenAI
aoai-enrichment,,Enrichment of user questions with vector database and functions to provide grounding to the language model on an organizations data corpus. 
aoai-logging-with-apim,C#,
aoai-realtime-multi-assistants,TypeScript,AOAI Realtime sample with multiple assistants
aoai-virtual-assistant,JavaScript,Solution accelerator for getting started with Azure OpenAI virtual assistants
aoc,Python,"Repository for the digital twin of the Analog-Optical Computer, a novel in-memory analog AI accelerator targeting inference of fixed-point AI models and constrained quadratic optimization problems."
AOCoptimizer.jl,Julia,Optimization solver backend for analog optical computer
aosm-tips-tricks,Bicep,"Tips, tricks and documentation for Azure Operator Service Manager"
aosm-values-merge,PowerShell,Extracts and merges helm values from a deployed AOSM network function resource with newValues provided by a publisher.
apache-airflow-microsoft-fabric-plugin,Python,
Apache-Provider,C++,Apache Monitoring Agent for OMI Server
apex,Python,A PyTorch Extension:  Tools for easy mixed precision and distributed training in Pytorch
apex_plus,Python,APEX+ is an LLM Serving Simulator
api-docs-ui,TypeScript,React-based UI components library for api documentation portals
api-extractor.com-website,SCSS,GitHub Pages website for https://api-extractor.com
api-guidelines,,Microsoft REST API Guidelines
api.rushstack.io-website,,GitHub Pages deployments for https://api.rushstack.io
apim-auth-entraid-approles,,
apim-auth-entraid-with-approles,,This sample describes how Azure API Management (APIM) can centralized authentication and authorizaton of APIs using Entra ID using APIM Policy (validate-jwt) and App Roles of Entra ID. 
apm,Python,Agent Package Manager
apm-action,TypeScript,GitHub Action for Agent Package Manager
apm-sample-package,,Sample Agent Package Manager package
App-Actions-On-Windows-Samples,,This repo provides some examples of how to build and consume App Actions on Windows.
app-camp,JavaScript,On-demand videos and labs - come to App Camp and learn how to port your web application to Microsoft Teams!
app-center-app-react-native,JavaScript,React Native based client app for App Center.
app-center-app-shared,,Shared repo supporting the App Center client apps.
app-center-app-xamarin,C#,Xamarin based client app for App Center
app-dev-briefings,Java,A set of demo applications for use with Azure application development services.
App-Extensibility-Sample,C#,This repo contains the sample shown during the App Extensibility Session during Build 2016
app-innovation-team,C#,Public repo for the App Innovation team
app-innovation-workshop,C#,"Hands-on workshop designed to help you learn Azure, Mobile & AI"
app-metadata,TypeScript,"Provides metadata extraction for iOS, Android and Windows packages."
app-store-badge,HTML,"Web component that renders the ""Get this app on Microsoft Store"" badge"
app-store-vsts-extension,TypeScript,Visual Studio Team Services (VSTS) extension for performing continuous delivery to the App Store store from your automated CI builds
App-Templates,,Packaged app samples to accelerate devs journey to cloud 
app-with-sharepoint-knowledge,C#,
appcenter,Shell,Central repository for App Center open source resources and planning.
appcenter-build-scripts-examples,,A collection of build script examples to be used in the Build service of https://appcenter.ms
appcenter-cli,TypeScript,Command-line Interface (CLI) for Visual Studio App Center
appcenter-rest-python,Python,A minimal Python wrapper around the App Center REST API
appcenter-sample-export,C#,This repo contains sample .NET Core library for parsing Export blobs created via App Center Continuous Export. 
appcenter-sampleapp-android,Java,App Center Sample App for Android
appcenter-sampleapp-ios-swift,Swift,App Center Sample App for iOS
appcenter-sampleapp-macos-swift,Swift,App Center Sample App for macOS
appcenter-sampleapp-react-native,TypeScript,App Center Sample App for React Native
appcenter-sampleapp-tvos-swift,Swift,App Center Sample App for tvOS
appcenter-sampleapp-xamarin,C#,App Center Sample App for Xamarin
appcenter-sdk-android,Java,Development repository for the App Center SDK for Android
appcenter-sdk-android-breakpad,C++,Fork of https://chromium.googlesource.com/breakpad/breakpad to be usable in https://github.com/Microsoft/AppCenter-SDK-Android test app without the fetch tools.
appcenter-sdk-apple,Objective-C,"Development repository for the App Center SDK for iOS, macOS and tvOS."
appcenter-sdk-cordova,Objective-C,App Center Preview SDK for Cordova
appcenter-sdk-dotnet,C#,"Development repository for the App Center SDK for .NET platforms, including Xamarin"
appcenter-sdk-react-native,JavaScript,Development repository for the App Center SDK for React Native
appcenter-sdk-unity,C#,"Development repository for the App Center SDK for Unity platforms, including Android, iOS, and UWP"
AppCenter-SDK-Unity-Extension,C#,Unity editor extension for the App Center SDK.
AppCenter-Test-Appium-Java-Extensions,Java,Extension library to run Appium Java tests on Visual Studio App Center
AppCenter-Test-Espresso-Extensions,Java,Extension library to run Espresso tests on Visual Studio App Center
AppCenter-Test-XCUITest-Extensions,Shell,Extension library to run XCUITest on Visual Studio App Center
appcenter-Xamarin.Forms-Gallery-Demo,C#,"Demonstration based on this sample, to show how different UI elements can be tested with App Center: https://github.com/xamarin/xamarin-forms-samples/tree/master/FormsGallery"
appcenter-Xamarin.UITest-Demo,C#,Minimal App for demonstrating Xamarin.UITest functionality within App Center
AppConsult-MSIXDevWorkshop,,Hands on labs for Developers on MSIX for Windows Apps
AppConsult-Samples-MixedReality,C#,Samples code for building apps on the Windows Mixed Reality platform
AppConsult-WinAppsModernizationWorkshop,C#,Windows Apps modernization workshop
appinsights-telemetry-flow,PowerShell,"Self-service diagnostic scripts for Azure Application Insights. Validate connectivity, TLS, AMPLS/Private Link, ingestion, sampling, workspace health — or diagnose Application Insights Agent installation issues — directly from the machine or network where your app runs. Available for PowerShell (Windows) and Bash (Linux)."
AppInsights.EnterpriseTelemetry,C#,Library for capturing telemetry in an Enterprise level application
AppInsights.EnterpriseTelemetry.AspNetCore.Extension,C#,Library for capturing enterprise level telemetry in an Web application built on ASP.NET Core 2 and above
appium,JavaScript,:iphone: Automation for iOS and Android Apps.
appium-windows-driver,JavaScript,
apple-ux-guide,Swift,Tips and best practices for building great experiences and writing sustainable code using Apple's UX Frameworks
Application-Insights-Istio-Adapter,C#,Application Insights adapter for Istio's Mixer which enables Application Insights telemetry collection for applications within Istio-enabled Kubernetes clusters.
Application-Insights-K8s-Codeless-Attach,TypeScript,Solution for onboarding Kubernetes/AKS workloads onto Application Insights monitoring.
Application-Insights-Workbooks,JSON,Templates for Azure Monitor Workbooks
ApplicationInsights-Android,Java,Microsoft Application Insights SDK for Android
applicationinsights-angularplugin-js,JavaScript,
ApplicationInsights-Announcements,,Subscribe to this repo to be notified about major changes in Application Insights.
ApplicationInsights-aspnetcore,C#,ASP.NET Core web applications monitoring
applicationinsights-channel-js,JavaScript,This extension prepares and sends telemetry to the Application Insights ingestion endpoint.
applicationinsights-core-js,JavaScript,Core SDK layer for next version of application insights javascript SDK.
ApplicationInsights-CPP,C++,Application Insights SDK for UAP C++ Apps
ApplicationInsights-Docker,Java,Application Insights for Dockerized Apps
ApplicationInsights-Docker-Dockerfile,Dockerfile,Continues integration for Application Insights for Docker image
ApplicationInsights-dotnet,C#,ApplicationInsights-dotnet
ApplicationInsights-dotnet-logging,C#,.NET Logging adaptors
ApplicationInsights-dotnet-server,C#,Microsoft Application Insights for .NET Web Applications
ApplicationInsights-Go,Go,Microsoft Application Insights SDK for Go
ApplicationInsights-iOS,Objective-C,Microsoft Application Insights SDK for iOS
ApplicationInsights-Java,Java,Application Insights for Java
ApplicationInsights-Java-Repros,Java,ApplicationInsights-Java-Repros repo is created for Application Insights Java customers who can upload their sample apps for us to reproduce issues.
ApplicationInsights-JS,TypeScript,Microsoft Application Insights SDK for JavaScript
ApplicationInsights-JS-Mezzurite,HTML,Application insights extension of Mezzurite
ApplicationInsights-Kubernetes,C#,Enrich the telemetry data for .NET applications running inside containers that are managed by Kubernetes.
ApplicationInsights-LocalForwarder,C#,Local Forwarder is an agent that collects Application Insights or OpenCensus telemetry from a variety of SDKs and routes it to the Application Insights backend.
ApplicationInsights-node.js,TypeScript,Microsoft Application Insights SDK for Node.js
ApplicationInsights-node.js-native-metrics,C++,Native Metrics Agent for the Application Insights Node.js SDK
ApplicationInsights-OSX,Objective-C,Microsoft Application Insights SDK for OS X
ApplicationInsights-PHP,PHP,Azure Application Insights SDK for PHP
ApplicationInsights-Profiler-AspNetCore,,Application Insights Profiler sample and documentation
ApplicationInsights-Python,Python,Azure Monitor Distro for OpenTelemetry Python
applicationinsights-react-js,JavaScript,Microsoft Application Insights React plugin
applicationinsights-react-native,JavaScript,Microsoft Application Insights React Native Plugin
ApplicationInsights-Ruby,Ruby,Microsoft Application Insights SDK for Ruby
ApplicationInsights-SAP-Fiori-Plugin,JavaScript,SAP Fiori Launchpad Plugin to gain insights into Fiori metrics with Azure Application Insights
ApplicationInsights-SDK-Labs,C#,Application Insights experimental projects repository
ApplicationInsights-ServiceFabric,C#,ApplicationInsights SDK for ServiceFabric projects
ApplicationInsights-SnapshotCollector,,NuGet package for Application Insights Snapshot Debugger for .NET applications
ApplicationInsights-statsd,TypeScript,StatsD backend for Application Insights Node.js
applicationinsights-vscode,,Visual Studio Code extension for Azure Application Insights
ApplicationInsights-WordPress,PHP,Main development repository for Application Insights WordPress plugin.
ApplicationInsights-Xamarin,C#,Microsoft Application Insights SDK for Xamarin
ApplicationInspector,C#,A source code analyzer built for surfacing features of interest and other characteristics to answer the question 'What's in the code?' quickly using static analysis with a json based rules engine. Ideal for scanning components before use or detecting feature level changes.
ApplicationInspector-Action,Shell,The GitHub Action for Microsoft Application Inspector
appliedai-rag101,Jupyter Notebook,This is a repo with code and documentation to help customers get started in their journey with RAG leveraging Azure Data products.
AppliedRoboticsResearchLibrary,,"From the Microsoft Applied Robotics Research team, this library is a collection of GitHub repositories containing software applications, data sets, and hardware reference designs to support research and education in the fields of service-robotics. Our team invites you to join us in research and engineering efforts that advance how robots can assist and augment the capabilities of human beings."
AppModelSamples,,Sample code for AppModel features
apps-agents-workshop,,Public repository for the Power Platform Apps and Agents Workshop materials
Appsample-Photosharing,C#,Sample code for a UWP photo sharing app.
AppSource,,"Build a Test Drive solution to allow customers to try before they buy your product. This repository contains a development helper tool to help build, test, and debug your test drive."
APRON,C,Authenticated and Progressive System Image Renovation
APSI,C++,APSI is a C++ library for Asymmetric (unlabeled or labeled) Private Set Intersection.
APSINet,C#,.Net wrappers for APSI
APS_Query_Toolbox,,Collection of helpful queries for the Microsoft Analytics Platform System appliance to manage appliance and workload health and optimize performance.
aqa-tests,HTML,A fork of adoptium/aqa-tests with Msft specific changes
aqafer,,A repo to make it easy to run AQAvit verification against different OpenJDK binaries (validation for Eclipse-Adoptium Marketplace for the OpenJDK).
AR2,Python,
aragog,C++,Scalable runtime verification of distributed middleboxes with Aaragog (OSDI 2020)
arc-sql-mi-db-operator,Go,Control Arc SQL MI databases using kubectl
arc-switch,Go,ARC enabled switches
arcade-background-scroll,TypeScript,A MakeCode Arcade extension for scrolling and looping background images. Adds the Scroller category
arcade-block-objects,TypeScript,An extension for MakeCode Arcade that adds JavaScript like objects
arcade-carnival,JavaScript,"This extensions adds blocks to help you create your own carnival games in MakeCode Arcade using throwable balls, extra timer functions, and extra game-over options."
arcade-chaos-maze,TypeScript,A Chaos Maze for students to explore in MakeCode Arcade
arcade-character-animations,TypeScript,A MakeCode Arcade package for animating sprites using rules
arcade-dom,TypeScript,DOM layout for MakeCode Arcade - beta
arcade-forest-fire,TypeScript,An extension for MakeCode Arcade that simulates the spread of forest fires
arcade-grid,TypeScript,
arcade-machine,TypeScript,":video_game: Input abstraction layer for gamepads, keyboards, and UWP apps in Angular. For React, check out https://github.com/mixer/arcade-machine-react"
arcade-machine-react,TypeScript,":video_game: Input abstraction layer for gamepads, keyboards, and UWP apps in React."
arcade-minimap,TypeScript,
arcade-platformer,TypeScript,An extension for making platformer games in Microsoft MakeCode Arcade
arcade-sprite-data,TypeScript,Blocks attach data to MakeCode Arcade sprites
arcade-storytelling,TypeScript,A storytelling extension for MakeCode Arcade
arcade-swarm-animation,TypeScript,Swarm animation for MakeCode Arcade
arcade-text,TypeScript,
arcade-tile-util,TypeScript,A MakeCode Arcade extension with useful blocks for working with tilemaps
arcade-timers,TypeScript,
arcade-tutorial-extensions,JavaScript,A collection of extensions used in MakeCode Arcade tutorials and skillmaps
arcana.cpp,C++,"Arcana.cpp is a collection of helpers and utility code for low overhead, cross platform C++ implementation of task-based asynchrony."
archai,Python,"Accelerate your Neural Architecture Search (NAS) through fast, reproducible and modular research."
archived-confidential-sidecar-containers,Go,This is a collection of sidecar containers that can be incorporated within confidential container groups on Azure Container Instances.
ArchProbe,C++,A profiler to disclose and quantify hardware features on GPUs.
ArchScale,Python,Simple & Scalable Pretraining for Neural Architecture Research
arcticseals,Jupyter Notebook,A deep learning project in cooperation with the NOAA Marine Mammal Lab to detect & classify arctic seals in aerial imagery to understand how they’re adapting to a changing world.
ardiffact,TypeScript,
ArduinoHidForWindows,C++,A public Arduino library with implementations for various Windows-compatible Human-Interface-Devices
argos,Python,An agentic system for autonomously generating explainable and reproducible time-series anomaly detection rules using LLMs.
ARGUS,Python,
ARI,PowerShell,Azure Resource Inventory - It's a Powerful tool to create EXCEL inventory from Azure Resources with low effort
ark,C++,A GPU-driven system framework for scalable AI applications
arm-debug-deployment-cleanup,PowerShell,Script to clean up ARM deployment logs
Armada,C#,"Armada is a tool for writing, and proving correct, high-performance concurrent programs."
aro-migration-hackathon,Shell,Hackathon content prepared for a joint Red Hat and GitHub + Azure Hackathon. 
aroundtheclock,,"Join us for a 24-hour, engineering event focused on Azure SQL and Azure Data Factory - with the idea that Azure Data Factory can do a lot of things, but it does Azure SQL really well!"
aroworkshop,SCSS,Azure Red Hat OpenShift workshop
arr-grasp-type-recognition,Python,
art,TypeScript,"Exploring the connections between artworks with deep ""Visual Analogies"""
art-msra,Jupyter Notebook,[CVPR 2025] Official repo for ART:Anonymous Region Transformer for Variable Multi-Layer Transparent Image Generation
artifacts-credprovider,C#,"The Azure Artifacts Credential Provider enables dotnet, NuGet.exe, and MSBuild to interactively acquire credentials for Azure Artifacts feeds."
artifacts-credprovider-conda,,Provide conda protocol authentication support for Azure Artifacts
artifacts-keyring,Python,Keyring backend for Azure Artifacts
artifacts-keyring-nofuss,Python,"Minimal, pure-Python keyring backend for Azure DevOps Artifacts feeds.  Replaces the official artifacts-keyring (which wraps a ~100 MB .NET binary) with a no-fuss implementation that covers the most common Linux auth scenarios using raw HTTP — no msal, no azure-identity, no .NET."
ARXGEN,Python,Scripts to parse arxiv documents for NLP tasks
ArxivFormula,Python,This repo is used to release the ArxivFormula dataset.
asclepius,Jupyter Notebook,Asclepius is a hero and god of medicine in ancient Greek religion and mythology.
asconnect,Python,Wrapper around the Apple App Store Connect REST APIs
ASDET,Jupyter Notebook,
AsgardBench,Python,Visually grounded planning benchmark for multimodal agents
AskEase,Python,NVDA Learning Assistant
ASL-citizen-code,Python,Code and baselines for ASL Citizen dataset
ASL-STEM-Wiki,Python,Code for the ASL STEM Wiki baselines
aspire,C#,"Aspire is the tool for code-first, extensible, observable dev and deploy."
aspire-brand,,"Brand assets for Aspire: Including slides, logos, icons, colors, guides, etc."
aspire-devcontainer,,
aspire-devcontainer-feature,Shell,
aspire-devcontainer-nightly,Dockerfile,GitHub template repository pre-configured with Devcontainer for .NET Aspire development.
aspire-samples,C#,
aspire.dev,MDX,The official website for all things aspire.dev.
aspnet-docker,Dockerfile,This repository has moved to microsoft/dotnet-framework-docker.
AspNetCoreInjection.TypedFactories,C#,"This project provides automatic Automatic Factory functionality similar to Castle.Windsor Typed Factories, for the DI abstractions in ASP.NET Core (IServiceCollection)"
ASRDFD,C,
asrr_tools,,
assemblyline-service-dotnet,Python,Parses the Common Language Runtime (CLR) header for Windows .NET files using Unit42's dotnetfile library
assent-app,C#,"Microsoft Assent is an enterprise scale product, internally used at Microsoft. It delivers a modern approvals experience for any approval, anywhere, anytime, on any device. It consolidates approvals across organization's line of business applications, building on modern technology and powered by Microsoft Azure. It delivers a unified approvals experience for any approval on multiple form factors (i.e., Website, Outlook Actionable email, Teams), anytime. "
assessment,C#,Assessment tool for checking Zero Trust and Azure AD configuration
asset-bundle-stats,,List the largest objects in a Unity asset bundle
assistant-pf-demo,Python,Demo for a Prompt Flow using OpenAI Assistants 
ASTRA,Python,Self-training with Weak Supervision (NAACL 2021)
Asynchronous_impulse_response_measurement,MATLAB,Sample code for acoustic impulse response estimation without clock synchronization
ATA-Auditing,,Audit your Domain Controllers health before and after an Advanced Threat Analytics (ATA) deployment.
ATAC,Python,"Code accompanying the paper Adversarially Trained Actor Critic for Offline Reinforcement Learning by Ching-An Cheng*, Tengyang Xie*, Nan Jiang, and Alekh Agarwal."
Atlas,C#,"Automating the deployment, configuration, and maintenance of DevOps engineering systems"
atlas-design,SCSS,"Atlas Design System serves the Microsoft Learn design & engineering teams. We are a CSS-first design system that aspires to beautiful, accessible, themeable, reading-direction-agnostic components."
atp-edu,Jupyter Notebook,used to release demo projects from the AI Talent Program course and provide exercise projects for students to complete as homework
attacksimulationandtraining,PowerShell,"Useful tools, scripts for the Attack Simulation and Training feature from Microsoft"
AttackSurfaceAnalyzer,C#,Attack Surface Analyzer can help you analyze your operating system's security configuration for changes during software installation.
AttentionEngine,Python,
Attestation-Client-Samples,C++,
attested-fetch,C++,
attested-ohttp-client,Rust,This is a rust implementation of Oblivious HTTP client sends OHTTP messages to an attested OHTTP gateway
attested-ohttp-server,Rust,This is a rust implementation of an attested OHTTP gateway
attribute-structuring,Python,
